"","logFC","logCPM","PValue","FDR"
"TRINITY_DN1052_c0_g1_i1",1.23927801089926,5.8697766215183,3.73669134759489e-25,5.36492000331541e-23
"TRINITY_DN503_c0_g1_i2",1.39929426513628,11.0914172165378,4.38236865056695e-25,6.1775462086992e-23
"TRINITY_DN558_c0_g1_i1",-1.55954208689969,10.1539615633879,4.6537434223496e-25,6.4429415631208e-23
"TRINITY_DN6273_c0_g1_i1",2.15188275704952,4.3829794488911,2.530674215323e-24,3.44216091077179e-22
"TRINITY_DN2769_c0_g1_i1",-2.422800687813,6.32620694018967,3.04144310528374e-24,4.06557041297669e-22
"TRINITY_DN982_c0_g1_i1",-1.41638568992104,6.64697611694492,8.40242414601804e-24,1.1041354983742e-21
"TRINITY_DN350_c1_g1_i1",2.32653199365069,3.43397617646551,1.12889372590701e-23,1.45871884282617e-21
"TRINITY_DN3499_c0_g1_i1",-1.31093239660941,6.39305024029827,1.85226098598092e-23,2.3303912157829e-21
"TRINITY_DN834_c0_g1_i1",-1.40999728321855,8.50344707852675,1.86359158233638e-23,2.3303912157829e-21
"TRINITY_DN1364_c0_g1_i1",-1.69268137098584,6.34539708557227,2.33705451634411e-23,2.87606089924061e-21
"TRINITY_DN2333_c0_g1_i1",1.44724366890591,5.84929997903995,2.76815846936484e-23,3.353364470779e-21
"TRINITY_DN4712_c0_g1_i1",2.84192192361165,3.36282230088406,4.02248703721292e-23,4.79789876915566e-21
"TRINITY_DN197_c0_g1_i1",-1.28690391403794,8.28370347908665,8.65079326711194e-23,1.01620606363513e-20
"TRINITY_DN4046_c0_g1_i1",-1.15462645958186,8.52856748868827,1.25396421052176e-22,1.45104246629481e-20
"TRINITY_DN3470_c0_g1_i1",-1.29643590739238,8.3394413546361,1.66230348360033e-22,1.89527042769903e-20
"TRINITY_DN4769_c0_g1_i1",1.18852074082594,7.71977635052633,2.59684479378557e-22,2.91787502698834e-20
"TRINITY_DN832_c0_g1_i1",1.22711267063238,5.74987011864349,3.76572851012035e-22,4.17081330556615e-20
"TRINITY_DN858_c0_g1_i1",1.11976138193193,6.0999084041885,9.32281359784312e-22,1.01802498343771e-19
"TRINITY_DN3400_c0_g1_i1",1.3516091857035,7.60094491992807,1.21807599680029e-21,1.31163100044342e-19
"TRINITY_DN2953_c0_g1_i1",-1.79088033782549,5.31457394036492,1.28686305562299e-21,1.36671907811576e-19
"TRINITY_DN568_c0_g1_i1",-1.40778018632761,9.5735028089194,1.68088459796682e-21,1.76106733622118e-19
"TRINITY_DN3345_c0_g1_i1",1.1816449669633,7.30504495999828,2.16471959411125e-21,2.2377428017526e-19
"TRINITY_DN676_c0_g1_i1",1.0347114462749,10.0891032153947,3.38550708097826e-21,3.45366268405585e-19
"TRINITY_DN1079_c0_g1_i1",1.2442804739059,5.73182235365118,3.59456269915683e-21,3.61930449435882e-19
"TRINITY_DN2427_c0_g1_i1",3.29853389162786,2.86296611026899,4.1091896633996e-21,4.08442916158167e-19
"TRINITY_DN1069_c0_g1_i1",1.64038591223696,6.66510688085094,4.16952296695299e-21,4.09193817250463e-19
"TRINITY_DN27_c0_g1_i1",-1.16344777759418,6.37821350170739,8.3622181259766e-21,8.10403464133708e-19
"TRINITY_DN545_c0_g1_i1",1.16287846045791,5.80798858251287,1.24004626269678e-20,1.18692329317138e-18
"TRINITY_DN7201_c0_g1_i1",2.83601444246374,2.99002505373256,1.69571516155269e-20,1.60327800579488e-18
"TRINITY_DN1290_c0_g1_i1",1.02151621835092,8.95623605915866,2.77078414616156e-20,2.58817945604705e-18
"TRINITY_DN3166_c0_g1_i1",-3.33712164624644,4.14436390353768,6.24720627179232e-20,5.76602264585784e-18
"TRINITY_DN121_c0_g1_i1",1.6682381578166,6.49512452466876,2.8164727902167e-19,2.56895453441765e-17
"TRINITY_DN718_c0_g1_i1",1.42955629742936,4.54883592645737,2.94768210310255e-19,2.65736969132024e-17
